type,lat,lon,activity_score,year,nightlights,ndbi
diplomatic,-1.9470304,30.0914364,1,2015,21.489737,0.05951469704160032
restaurant,-1.9296904,30.065764699999995,1,2015,13.500924,0.05951469704160032
restaurant,-1.9656945,30.0806733,1,2015,17.111645,0.05951469704160032
fuel,-1.9657365,30.080934200000005,1,2015,17.111645,0.05951469704160032
cafe,-1.9461606,30.060915099999995,1,2015,45.0858,0.05951469704160032
atm,-1.9483447000000005,30.060049599999992,1,2015,38.838333,0.05951469704160032
car,-1.9453408,30.0608444,1,2015,45.0858,0.05951469704160032
hotel,-1.9266583,30.094745,1,2015,10.311433,0.05951469704160032
school,-1.9138618,30.074521800000003,1,2015,8.321276,0.05951469704160032
pharmacy,-1.9175408,30.0720782,1,2015,10.199739,0.05951469704160032
viewpoint,-1.9316828,30.0606768,1,2015,12.497031,0.05951469704160032
viewpoint,-1.9757339,30.1737859,1,2015,6.2177105,0.05951469704160032
museum,-1.94668,30.0535269,1,2015,23.471342,0.05951469704160032
cafe,-1.9253431000000003,30.0964279,1,2015,13.386457,0.05951469704160032
books,-1.949822,30.091208300000005,1,2015,22.608042,0.05951469704160032
camp_site,-1.9368888,30.088951300000005,1,2015,12.969356,0.05951469704160032
university,-1.9445848999999995,30.0895946,1,2015,20.043005,0.05951469704160032
educational_institution,-1.9455488000000003,30.0641823,1,2015,45.0858,0.05951469704160032
hotel,-1.9395927,30.061115200000003,1,2015,28.680727,0.05951469704160032
guest_house,-1.9427606,30.0429507,1,2015,22.349237,0.05951469704160032
electronics,-1.9298793,30.0705939,1,2015,19.828686,0.05951469704160032
hotel,-1.9431048,30.0868109,1,2015,18.671816,0.05951469704160032
diplomatic,-1.9504223000000005,30.0920727,1,2015,24.882708,0.05951469704160032
cafe,-1.9498517,30.0912853,1,2015,22.608042,0.05951469704160032
Water & Energy Solutions,-1.9393806,30.059066400000003,1,2015,34.786793,0.05951469704160032
industrial,-1.9026172,30.0519291,1,2015,5.199226,0.05951469704160032
disused,-1.9498378000000005,30.0920444,1,2015,24.882708,0.05951469704160032
bakery,-1.9521379000000003,30.074917500000005,1,2015,20.627598,0.05951469704160032
fuel,-1.9559423,30.14413409999999,1,2015,8.137548,0.05951469704160032
fuel,-1.984684,30.1868215,1,2015,4.489303,0.05951469704160032
fuel,-1.9849802,30.1889317,1,2015,4.489303,0.05951469704160032
hookah_lounge,-1.9526466,30.2423015,1,2015,0.85746354,0.05951469704160032
fuel,-1.9812273,30.2175066,1,2015,3.7078142,0.05951469704160032
fuel,-1.9486973,30.022905599999994,1,2015,3.3536308,0.05951469704160032
place_of_worship,-1.9637598,30.1048273,1,2015,14.9223585,0.05951469704160032
cafe,-1.9486692000000003,30.0740941,1,2015,25.23342,0.05951469704160032
