type,lat,lon,activity_score,nightlights,ndbi,avg_nightlights,avg_ndbi,econ_intensity_pc1,coverage_ratio,cluster_enhanced,cluster_label
bar,-1.9724036999999996,30.0782269,1,,,0.0,0.0,-0.7078393979599457,3.874472883819893,1,Peri-urban Emerging
hotel,-1.9450024999999995,30.088978399999995,1,22.158777454545454,-0.0003877464325817886,22.158777454545454,-0.0003877464325817886,0.4475176361677243,7.332114585817937,0,Peri-urban Emerging
car_wash,-1.9452363999999998,30.13082839999999,1,,,0.0,0.0,-0.7078393979599457,0.6241194554240461,1,Peri-urban Emerging
playground,-1.9330347000000003,30.073057099999993,1,,,0.0,0.0,-0.7078393979599457,4.92014399744014,0,Peri-urban Emerging
diplomatic,-1.9445084,30.0881986,1,22.158777454545454,-0.05351668845076361,22.158777454545454,-0.05351668845076361,-0.13560849152722437,6.794644751846222,0,Peri-urban Emerging
pub,-1.9454432999999998,30.1309973,1,,,0.0,0.0,-0.7078393979599457,0.6241194554240461,1,Peri-urban Emerging
office,-1.9536163000000002,30.1029986,1,,,0.0,0.0,-0.7078393979599457,0.8862748121399016,1,Peri-urban Emerging
convenience,-1.9321314,30.073629399999994,1,25.25698881818182,0.05495020840378184,25.25698881818182,0.05495020840378184,1.2170247271461454,4.92014399744014,0,Peri-urban Emerging
hospital,-1.9528333999999998,30.1028383,1,,,0.0,0.0,-0.7078393979599457,0.8862748121399016,1,Peri-urban Emerging
sports_centre,-1.9630909,30.070104000000004,1,18.40891490909091,-0.12592989935985452,18.40891490909091,-0.12592989935985452,-1.126630284526435,1.5390242037385264,1,Peri-urban Emerging
atm,-1.9591702,30.109334499999992,1,35.08419463636364,0.09055807827650912,35.08419463636364,0.09055807827650912,2.1221224089051045,1.864070080935801,1,Peri-urban Emerging
fuel,-1.9681500000000003,30.088465499999998,1,,,0.0,0.0,-0.7078393979599457,5.00537169863745,0,Peri-urban Emerging
bank,-1.9590924999999995,30.109353099999993,1,,,0.0,0.0,-0.7078393979599457,1.864070080935801,1,Peri-urban Emerging
atm,-1.9591729,30.109463100000003,1,44.37281918181818,0.09055807827650912,44.37281918181818,0.09055807827650912,2.608214571179586,1.864070080935801,1,Peri-urban Emerging
educational_institution,-1.9612963999999997,30.113098,1,,,0.0,0.0,-0.7078393979599457,1.260426796421408,1,Peri-urban Emerging
bank,-1.9590924999999995,30.109455,1,,,0.0,0.0,-0.7078393979599457,1.864070080935801,1,Peri-urban Emerging
hotel,-1.9523711000000001,30.0604224,1,,,0.0,0.0,-0.7078393979599457,2.5738598029040247,1,Peri-urban Emerging
fuel,-1.9702280000000005,30.0771778,1,,,0.0,0.0,-0.7078393979599457,3.874472883819893,1,Peri-urban Emerging
atm,-1.9678053000000002,30.1018374,1,,,0.0,0.0,-0.7078393979599457,5.509790797343002,0,Peri-urban Emerging
supermarket,-1.9471641000000002,30.0580267,1,,,0.0,0.0,-0.7078393979599457,1.6189806985460047,1,Peri-urban Emerging
bank,-1.9574188999999995,30.1153104,1,43.61288427272728,-0.05767685399621814,43.61288427272728,-0.05767685399621814,0.9414668741198673,0.7677083228166823,1,Peri-urban Emerging
bank,-1.9487165000000004,30.063815199999997,1,,,0.0,0.0,-0.7078393979599457,12.081070596390873,2,Peri-urban Emerging
