type,geometry,lat,lon,activity_score
bank,POINT (30.0931823 -1.9508346),-1.9508346,30.0931823,1
bank,POINT (30.0616829 -1.9477071),-1.9477071,30.061682900000005,1
bar,POINT (30.0573105 -1.9693203),-1.9693203,30.057310500000003,1
restaurant,POINT (30.096755 -1.9526575),-1.9526575,30.096755000000005,1
bank,POINT (30.0602068 -1.9466349),-1.9466348999999996,30.060206800000003,1
bank,POINT (30.1047782 -1.9805982),-1.9805982,30.1047782,1
restaurant,POINT (30.0982812 -1.9508695),-1.9508695000000003,30.09828119999999,1
restaurant,POINT (30.1258542 -1.9688684),-1.9688684,30.1258542,1
restaurant,POINT (30.0591536 -1.9432829),-1.9432828999999998,30.05915359999999,1
bar,POINT (30.047692 -1.9781503),-1.9781502999999996,30.047691999999998,1
supermarket,POINT (30.0594786 -1.9437009),-1.9437009,30.0594786,1
restaurant,POINT (30.0597522 -1.9438031),-1.9438030999999998,30.059752200000002,1
bank,POINT (30.0598492 -1.9461854),-1.9461854,30.0598492,1
restaurant,POINT (30.1061252 -1.946185),-1.9461849999999996,30.1061252,1
cafe,POINT (30.1235299 -1.9507881),-1.9507881000000002,30.1235299,1
supermarket,POINT (30.0971824 -1.9254398),-1.9254397999999995,30.097182400000005,1
bar,POINT (30.0766177 -1.971235),-1.971235,30.076617699999996,1
supermarket,POINT (30.1086255 -1.9601494),-1.9601494,30.108625499999995,1
supermarket,POINT (30.1073227 -1.9607941),-1.9607940999999998,30.107322700000005,1
restaurant,POINT (30.1086278 -1.933393),-1.933393,30.108627800000004,1
bar,POINT (30.0778578 -1.9737667),-1.9737666999999999,30.0778578,1
bank,POINT (30.1114654 -1.9581971),-1.9581971,30.1114654,1
bar,POINT (30.1093305 -1.929367),-1.9293670000000003,30.109330499999995,1
bank,POINT (30.125765 -1.9488563),-1.9488563,30.125765,1
bank,POINT (30.125951 -1.9487571),-1.9487570999999997,30.125950999999997,1
bank,POINT (30.1105296 -1.9583364),-1.9583364000000003,30.110529599999996,1
supermarket,POINT (30.1113357 -1.9583009),-1.9583009000000002,30.111335699999994,1
bank,POINT (30.1095601 -1.9602363),-1.9602363,30.1095601,1
bank,POINT (30.1093294 -1.9603274),-1.9603273999999995,30.1093294,1
bank,POINT (30.1032357 -1.9684337),-1.9684337,30.103235699999995,1
restaurant,POINT (30.0657647 -1.9296904),-1.9296904000000001,30.065764699999995,1
restaurant,POINT (30.0806733 -1.9656945),-1.9656945,30.0806733,1
pharmacy,POINT (30.0720782 -1.9175408),-1.9175407999999998,30.0720782,1
cafe,POINT (30.0964279 -1.9253431),-1.9253431000000003,30.0964279,1
cafe,POINT (30.0912853 -1.9498517),-1.9498517000000002,30.091285299999996,1
cafe,POINT (30.0740941 -1.9486692),-1.9486692000000003,30.074094099999996,1
restaurant,POINT (30.1061248 -1.9460418),-1.9460417999999995,30.106124799999996,1
restaurant,POINT (30.0781417 -1.9502353),-1.9502353,30.0781417,1
restaurant,POINT (30.0688175 -1.9458375),-1.9458375,30.068817499999994,1
restaurant,POINT (30.0578131 -1.9520922),-1.9520922,30.0578131,1
restaurant,POINT (30.0768159 -1.9612048),-1.9612048000000002,30.0768159,1
restaurant,POINT (30.1103374 -1.9311962),-1.9311962,30.1103374,1
restaurant,POINT (30.0673169 -1.9465596),-1.9465595999999996,30.067316899999998,1
